,Fp1_(Theta2+Alpha1),Fp1_(Theta),Fp1_(Alpha),Fp1_(Beta_Global),Fp1_(Beta_Alta),Fp1_(Beta_Baja),Fp1_(Gamma),F3_(Theta2+Alpha1),F3_(Theta),F3_(Alpha),F3_(Beta_Global),F3_(Beta_Alta),F3_(Beta_Baja),F3_(Gamma),C3_(Theta2+Alpha1),C3_(Theta),C3_(Alpha),C3_(Beta_Global),C3_(Beta_Alta),C3_(Beta_Baja),C3_(Gamma),Fz_(Theta2+Alpha1),Fz_(Theta),Fz_(Alpha),Fz_(Beta_Global),Fz_(Beta_Alta),Fz_(Beta_Baja),Fz_(Gamma),Cz_(Theta2+Alpha1),Cz_(Theta),Cz_(Alpha),Cz_(Beta_Global),Cz_(Beta_Alta),Cz_(Beta_Baja),Cz_(Gamma),Fp2_(Theta2+Alpha1),Fp2_(Theta),Fp2_(Alpha),Fp2_(Beta_Global),Fp2_(Beta_Alta),Fp2_(Beta_Baja),Fp2_(Gamma),F4_(Theta2+Alpha1),F4_(Theta),F4_(Alpha),F4_(Beta_Global),F4_(Beta_Alta),F4_(Beta_Baja),F4_(Gamma),C4_(Theta2+Alpha1),C4_(Theta),C4_(Alpha),C4_(Beta_Global),C4_(Beta_Alta),C4_(Beta_Baja),C4_(Gamma),BPR_Fp1,BPR_F3,BPR_C3,BPR_Fz,BPR_Cz,BPR_Fp2,BPR_F4,BPR_C4,PCA_x,PCA_y,cluster
176,2.099878898744095,3.6411154880618457,1.2650626900963204,0.6316358218397189,0.4522972503905342,0.6527913828485835,0.41179495124098064,2.0045764821217062,4.2176416672213035,1.2060098965307928,0.5658796113681868,0.3632119867517793,0.6065997595585629,0.33499710875145566,2.0310653345638583,4.695257945406286,1.2677847163480969,0.4467905723121251,0.28977984525858386,0.49139034408364257,0.26232330930483755,2.2652275374134145,4.460698619319179,1.178603599275361,0.5524208722168255,0.32138586438274563,0.6158311956613846,0.2815813141686047,2.4449360307363035,4.998547816418402,1.2567389598048258,0.3964137332479021,0.2464364134802864,0.45418726383141544,0.22174461235163082,2.1116064237605494,3.5748159711915264,1.1958806178503278,0.6248739507698307,0.4842708440762429,0.6373763342734565,0.4457970746090898,2.189708375471892,4.082039386363414,1.1784174819693056,0.5782951563450679,0.3998589323265559,0.6070344502481955,0.3603636326860477,2.1459041058120483,4.688905893369371,1.1703472174793015,0.4672675401277738,0.30748688314216155,0.5058866610589873,0.2844356391309612,4.737018325097763,5.600796994340341,7.930694265335235,7.438757135461984,11.290028437740759,4.733665483357976,5.69316851805976,7.601823493898984,1.8132192679420582,-3.968320708303267,1
177,3.0134593461530854,4.4057736671639995,1.7832689595693483,0.43052523526427877,0.21615713770701647,0.4836288875406451,0.1933241786371269,3.4918866196768774,4.764008261784382,1.8091850146338628,0.37072789229617137,0.13850462741915273,0.4569895166161454,0.12340135571745449,3.876557425019632,4.292723120407597,2.4245253086916323,0.2899086303610032,0.11256661710368557,0.3730657127913413,0.1019170219405553,3.5347123763195043,5.150798948885787,1.7378593517447294,0.2994456624423254,0.12019558655323807,0.3623176810802408,0.1088296868033394,3.9208532808385477,4.715856534764665,2.160806755091213,0.26612134360897277,0.10400051145180546,0.3450437492489195,0.09522324994689,2.9171175717580557,4.55905669995676,1.6084107561898502,0.43270273519826974,0.22928262602769897,0.4722127149258564,0.2122037640021103,3.5389299080397265,5.1557240003866385,1.7379264188375858,0.2978912306014135,0.1200713254692598,0.36098017253513187,0.10875462321212487,2.603391387248092,2.9270610125298746,1.7570599813227683,0.6612132241080058,0.41977721623459363,0.721319544878821,0.4035250804468565,15.748978565678934,26.654721557165793,37.2547774420059,31.07660536647937,41.044289417696255,13.97115764625339,31.12142503253004,6.511429553583356,-7.040494053246488,-3.6571893582704256,1
155,2.00376604032903,2.7548181753817786,2.891106474897927,0.4089726390055308,0.30146596219983907,0.45285667740880237,0.2996913076451311,2.602797824681754,2.758334140390231,3.032105517726001,0.407004609132715,0.2253738138119582,0.4625568787497607,0.21980718128273408,2.9431769625462736,1.8974851059310716,3.514465862719331,0.4561171323523506,0.25513086410804564,0.5387627430369779,0.2458634087788289,2.554034416783849,2.7619078549937557,2.9694252383274335,0.41810502878058237,0.24761014808091342,0.4776825144744224,0.24008725259937744,2.326583994974206,2.2897854062233645,3.044058173899066,0.5109054200204631,0.2728596338847994,0.6262970370474565,0.26511567171624095,2.1128396709349473,2.6226231098915544,2.880006222771803,0.40723659561230197,0.2982850664418035,0.45043005279770393,0.29775095175374766,2.5369388353329696,2.612153606078148,2.9028013233648395,0.4428505064799866,0.27397760341221944,0.5109762531598419,0.26484213743319635,2.9746521586193118,2.3044119219984185,2.9365875465288953,0.5008630981338626,0.30112206169693123,0.5790667614689339,0.29843159468501584,7.1544955408372815,13.441239061147245,12.347413898175207,10.036381230022076,7.559899829938711,7.202908642807772,10.02521621712192,12.43712601025605,-2.289259260778206,5.293214606778427,1
179,3.7132259350180954,3.0516851841619106,2.1977403494016334,0.46769293925098604,0.32795304341329395,0.5046255725608201,0.3119384626699809,4.4582220520264615,3.757331354964622,2.402292669300243,0.4054180711307542,0.13577363199138756,0.5012315523584167,0.11163861662511845,5.011457050611846,3.2746766440363713,2.8884519671816324,0.3100961789337102,0.08840940854510272,0.40922408386205966,0.073798609221122,4.516550526256399,3.815871411718136,2.470003646201013,0.3649135120924194,0.12609798762158675,0.4554989118676898,0.10561607886719662,4.812438826164793,3.4452935580282635,2.8941982786878655,0.2965605759658505,0.08522109589640318,0.3914302736767418,0.0723303506726774,2.9628998247612754,3.2759206193980455,1.5914856813438736,0.5053265296170532,0.4428457886745964,0.5176266151316201,0.42814375842631525,4.363697385698172,3.741740780277437,2.4086394138361626,0.41789793006706044,0.14693015972846704,0.5035131891970214,0.12288959393905098,5.019160823489907,3.406789004412671,2.8779124225252084,0.293531062059494,0.0895354447919498,0.39250256902291336,0.07885430916232937,12.157040497334812,37.1718135041686,62.2284581217155,40.780018430920265,61.02478771006444,7.486227666792549,32.89674891810894,62.9829333502187,-10.219351322873052,0.5784672983096709,1
183,2.911180555119987,3.940352646865582,2.3042088954771414,0.3926357430367258,0.16586863737249263,0.4747726792903535,0.14704171170142297,2.8066069500200186,3.6772694003204487,2.22743675107088,0.5654635168716127,0.21378757780532556,0.6456561669763476,0.1775808199910773,3.197401580623791,3.390750679160472,2.8883133106078516,0.34042782894214046,0.11980621283553801,0.43511797374087996,0.10417855309565235,3.2183338115060867,3.812574191849675,2.345239875651273,0.43621281807776846,0.14422717464142443,0.5600749852939846,0.12648197808808034,3.8018655604847864,3.451751570851306,2.8122205888173517,0.33762760787369056,0.12135032472715654,0.4343942111235034,0.10409919552117253,2.813789695623307,4.042120500281101,1.9400697231887125,0.46935781316300135,0.21314022357025916,0.5530812058627536,0.18817659490259117,3.2563473660619486,3.26818278126166,2.710641175475288,0.42139066419096627,0.18129909951565862,0.5098406763318404,0.16505691193319436,3.2916012622655555,2.841040188732416,3.200185276654105,0.4093273693742433,0.1281048574152998,0.5432592027880118,0.10879707690694727,19.361430840206978,15.284768123700603,26.522952183471695,24.383226687821065,35.50636342146913,14.357056700361708,19.258566633264383,27.47919983679575,-6.561208654169757,0.8962349575279572,1
184,2.3895187052680016,4.453773992394132,1.3241227076316047,0.4840003373565337,0.25571599009248797,0.5809753247806635,0.23502192726398466,2.737683433759295,4.810834036511439,1.2254464448142366,0.48412874600363004,0.20016481353360605,0.6124046016985177,0.17862810505904053,3.2453699909542624,5.101002224150913,1.2897752802896905,0.3306579069546926,0.19766919181505002,0.3966296231768926,0.18656245837634983,2.6019602361870136,4.923991786808772,1.2034651245744683,0.45774866514611023,0.18038559076949748,0.5739713466785622,0.1594577253910359,3.3526532492759835,5.514881901428756,1.1126752143725085,0.3107150030009167,0.1675722775971706,0.3851617354721076,0.15465935256592234,2.4264416438074723,4.7054423157467795,1.1862793946826056,0.4596548445515167,0.25282472236062575,0.538798085329661,0.2303291432539958,2.6255043145259833,4.810478458949807,1.2066685845491292,0.48205630652628884,0.18622845629468274,0.6210764878191292,0.1692547230045745,3.32564762087018,5.639169342702428,1.0221413993193131,0.2992030317763862,0.1558561387026783,0.36557175026381056,0.14453935038016946,10.182398581418418,14.806750288895913,19.21370203523877,15.733937275186321,25.793031114799266,12.103342518980313,15.325135628277788,24.777467946990637,-3.7881733197742786,-6.289486376601585,1
186,2.8876947750204716,3.5207334086129656,2.0085558394472716,0.46825428711046735,0.30137737909126894,0.5406083029656868,0.2776957217923005,2.8492779968824404,3.5586836045175736,2.0776527576791026,0.4502141616060257,0.2991248149569573,0.4973314628108594,0.27580483021308594,3.176404951535111,3.3530449169200227,2.3518499993154602,0.4186915672009803,0.27890482900534375,0.4733281928831497,0.25548586127574935,3.1446780864664325,3.8695440877602167,2.1056151169143793,0.3738556390566703,0.23035796737283853,0.4334018713734342,0.2111845802246087,3.718890487131986,3.4202715760275395,2.702812894941253,0.31763284356372473,0.1892387521506361,0.3778510723065275,0.17249031407628163,2.844942764994938,3.5912025733347344,1.9461371258790963,0.4614185905963161,0.3057773902998456,0.5125773092949791,0.2908478032539239,3.232709947953835,3.4679752155012404,2.3136449518645468,0.4061131101581044,0.26480635053402024,0.4678955643588825,0.24498301143157397,3.980655133984306,2.7320065791680626,3.0120709316979855,0.36878692158105514,0.2397656427791991,0.43593167593873156,0.22245113805276145,11.041688516953574,11.064113753040935,13.408050148687401,16.418801203205028,23.52960229239411,10.486718963529034,14.225990998640073,21.453596981033517,-4.14569116996012,0.7472056564355772,1
188,3.001158096850503,4.059402612249007,1.6979676054723638,0.4826615021085854,0.23912447429187,0.5749869212372228,0.21300507707078573,3.2339906903996334,4.268463075181358,2.0666656029594055,0.42633389156219287,0.13790122435749094,0.5802604893719264,0.12812638616022756,3.4823864341664343,4.003717619959924,1.937868008858579,0.45349165023470694,0.17216498610913133,0.5929034725625217,0.15543623314025476,3.0346523496456217,3.9784901194908953,1.665828144509128,0.5159782932563962,0.2545723108482021,0.6113289495726022,0.235098472427596,3.3299281848995363,4.6899582149597885,1.6202481216677191,0.4041845339989198,0.1571206013944425,0.5110384768408781,0.13947194805739468,2.995563306139363,4.0894940539301,1.7005283514836969,0.48285600769531795,0.23735927415097038,0.5768813585550608,0.21044635298150755,3.0010897160405055,3.9334384584808393,1.6682291313759319,0.5217997111452736,0.2608320739054436,0.616383021071449,0.2378629059859909,3.258221938370816,3.763366282837032,1.7339933917065389,0.5287221669122325,0.24382493460466884,0.6613334916621026,0.2276654281980376,13.554576105869252,23.821071522542514,22.739612296595595,13.433891814416866,23.28526445116618,13.480528749642474,12.947289927666919,15.554674640340567,-3.6769303799675286,-2.277419738813116,1
189,2.1321610842662007,3.1237908083480135,2.11430558201196,0.6159804327543675,0.4127765126460882,0.585640858359651,0.3493045139093334,2.277706727727469,2.709881186100749,2.8002414135039984,0.5745409586245875,0.2968546433197304,0.5926101328923702,0.24747532429689068,2.2704660639624805,2.981779014453312,3.371302297837099,0.3291638741123965,0.15747549235962885,0.38351189853308504,0.14190503115556333,2.412031882372928,2.7861813077568276,2.85592476367841,0.5322988764619855,0.2607667733201909,0.5722062853041561,0.2195077401093123,2.499094109503441,2.6396921656590777,3.2695991077780646,0.4629525062095803,0.20957588109052094,0.5201410325558856,0.1762263135184078,2.180333410099518,3.3494576840677195,2.108244240750894,0.5628157531987044,0.3435007960532572,0.585004651587809,0.29588155910489555,2.275623358956778,2.5952332131731084,2.8080685583589493,0.5975764678164781,0.3097186892990884,0.6323332540175279,0.2574810190336781,2.5156651482484067,2.591688209766271,3.6373304251318306,0.3204752751433943,0.15881627309354462,0.37095056182266334,0.14704149753740847,5.392097424058826,8.079130753016328,14.673226818806697,9.506862237981764,12.742516161912441,6.4861989950028756,7.875327009496352,16.63281655858011,-2.0482967745474365,4.044107232747954,1
190,2.8729815572806667,2.491523819575904,3.062912112690686,0.36421009826470463,0.2861298953993441,0.3908558414355974,0.2806886216321567,3.090535123532885,3.0788076768127044,2.8645179992945735,0.3224107180206488,0.23395757551328608,0.35463822310533316,0.22594947143830638,2.9893934718720714,2.978755617635042,2.9527210832596977,0.34164522402436315,0.23340712403210148,0.3791336132887901,0.22649274497609936,3.2834578212746948,3.3928931254216153,2.8572434560068856,0.2918214453760928,0.1811230500497109,0.3333427510681559,0.17290913742209577,3.1714764963939013,3.275659831624188,2.8887715605147273,0.29782558167067785,0.2068322841422185,0.3262606902879801,0.20319778017542858,2.7617362132506944,2.6122180660902434,2.9991049230674065,0.37968162100084485,0.2745670685495504,0.4180930144312463,0.26750985131081906,2.9328568081482214,2.9530716098465093,2.9105700468087847,0.35428920046060475,0.24479535707169886,0.3832382343965143,0.23621755129939678,2.764161526996666,2.797200283389834,2.7553149852764345,0.39979580329601194,0.31000471369013816,0.4110423492812543,0.30099196501422215,10.612801325673454,13.905625048387206,13.29254840664204,19.26165738933848,16.117567611276588,11.200417186309902,13.431765834642503,9.916804562537774,-5.225656951757065,3.3330945561080974,1
